Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Thomas County","Thomas County, Georgia","1410495980","19742306","050","00","3","5","13275","13","275",44720,44720,82.11598,544.595573415784,552.2181,544.5956,7.622547,44720,21179,23541,44720,3035,3009,3149,1944,3680,5134,5619,6699,5711,3739,2140,861,39.6,38.1,41,44720,26645,16497,196,311,7,519,545,44720,43445,26081,16416,166,306,7,49,420,1275,564,81,30,5,0,470,125,17573,11999,7941,4058,834,3224,5574,4778,796,44720,43872,37266,11999,7941,12888,1593,541,402,993,909,6606,4778,796,1032,848,657,191,20177,17573,11325,6248,20177,17573,2604,2604,752,785,1067
"Tift County","Tift County, Georgia","670585617","25574884","050","00","3","5","13277","13","277",40118,40118,154.9469,258.914558677492,268.7891,258.9146,9.874518,40118,19210,20908,40118,2960,2903,2834,1663,4825,5100,4933,5322,4455,2843,1628,652,34.5,33,36.1,40118,24645,11618,85,512,8,2622,628,40118,36081,23555,11549,72,507,8,33,357,4037,1090,69,13,5,0,2589,271,14836,10327,6979,3348,732,2616,4509,3800,709,40118,38550,33090,10327,6979,11898,1321,478,324,880,883,5460,3800,709,951,1568,445,1123,16434,14836,9083,5753,16434,14836,1598,1598,640,325,633
"Toombs County","Toombs County, Georgia","942767920","18098787","050","00","3","5","13279","13","279",27223,27223,74.78748,364.004750601161,370.9927,364.0048,6.987981,27223,12928,14295,27223,2219,2082,2059,1255,2334,3339,3402,3637,3154,2150,1137,455,36,34.2,37.6,27223,17728,6767,74,200,14,2019,421,27223,24168,16887,6716,37,199,14,42,273,3055,841,51,37,1,0,1977,148,10375,7109,4705,2404,506,1898,3266,2822,444,27223,26836,22953,7109,4705,8454,1002,271,222,561,629,3883,2822,444,617,387,289,98,12144,10375,6503,3872,12144,10375,1769,1769,689,730,350
"Towns County","Towns County, Georgia","431395530","14037948","050","00","3","5","13281","13","281",10471,10471,62.8652,166.562748553275,171.9828,166.5627,5.420082,10471,4996,5475,10471,383,452,510,296,1071,734,1035,1258,1671,1719,1007,335,51.1,49.3,53,10471,10232,41,31,44,1,61,61,10471,10265,10102,39,30,43,0,1,50,206,130,2,1,1,1,60,11,4510,2981,2524,457,116,341,1529,1358,171,10471,9773,8041,2981,2524,1974,181,51,83,120,127,1732,1358,171,203,698,151,547,7731,4510,3613,897,7731,4510,3221,3221,250,2685,286
"Treutlen County","Treutlen County, Georgia","516536589","7805614","050","00","3","5","13283","13","283",6885,6885,34.52237,199.435895455886,202.4497,199.4359,3.013765,6885,3449,3436,6885,496,488,486,243,639,941,830,977,845,513,314,113,36.8,35.4,38.4,6885,4488,2247,14,13,0,55,68,6885,6782,4466,2239,10,13,0,2,52,103,22,8,4,0,0,53,16,2543,1770,1180,590,129,461,773,688,85,6885,6433,5548,1770,1180,1971,275,57,56,128,111,885,688,85,112,452,363,89,2992,2543,1811,732,2992,2543,449,449,55,94,300
"Troup County","Troup County, Georgia","1072223976","82812028","050","00","3","5","13285","13","285",67044,67044,161.9467,413.988018477306,445.9619,413.988,31.97391,67044,32215,34829,67044,4749,4864,5043,3146,6395,8213,8867,9550,7914,4519,2683,1101,36.3,35,37.5,67044,41216,22394,168,1060,54,1140,1012,67044,64874,40408,22319,134,1054,21,85,853,2170,808,75,34,6,33,1055,159,24828,17489,11178,6311,1277,5034,7339,6224,1115,67044,64971,56162,17489,11178,20154,2593,861,698,1564,1625,8809,6224,1115,1470,2073,1438,635,28046,24828,15107,9721,28046,24828,3218,3218,1328,916,974
"Turner County","Turner County, Georgia","739164599","11881250","050","00","3","5","13287","13","287",8930,8930,31.29018,285.393062825001,289.9804,285.3931,4.587377,8930,4358,4572,8930,597,598,613,395,836,1067,1092,1205,1126,773,443,185,38.7,36,40.8,8930,4886,3712,29,40,0,198,65,8930,8648,4820,3697,19,40,0,22,50,282,66,15,10,0,0,176,15,3339,2308,1498,810,163,647,1031,904,127,8930,8559,7380,2308,1498,2590,439,76,66,182,221,1179,904,127,148,371,323,48,3841,3339,2207,1132,3841,3339,502,502,161,153,188
"Twiggs County","Twiggs County, Georgia","928246376","10972021","050","00","3","5","13289","13","289",9023,9023,25.17592,358.397953967354,362.6343,358.3979,4.236321,9023,4398,4625,9023,522,471,496,367,785,846,1030,1639,1408,904,438,117,45,44.1,45.8,9023,5123,3724,28,14,1,30,103,9023,8899,5059,3703,27,14,1,6,89,124,64,21,1,0,0,24,14,3634,2492,1685,807,208,599,1142,1004,138,9023,8934,7633,2492,1685,2396,467,137,70,204,182,1301,1004,138,159,89,89,0,4235,3634,2927,707,4235,3634,601,601,96,107,398
"Union County","Union County, Georgia","833785120","18333198","050","00","3","5","13291","13","291",21356,21356,66.33818,321.926235951672,329.0047,321.9262,7.078487,21356,10397,10959,21356,927,1028,1182,656,1308,1698,2220,2991,3671,3335,1717,623,50.7,49.3,52.1,21356,20668,99,72,75,4,184,254,21356,20837,20345,95,66,75,4,13,239,519,323,4,6,0,0,171,15,9116,6382,5363,1019,288,731,2734,2386,348,21356,20977,17835,6382,5363,4625,464,134,179,375,313,3142,2386,348,408,379,379,0,14052,9116,7268,1848,14052,9116,4936,4936,321,4008,607
"Upson County","Upson County, Georgia","837697129","10663300","050","00","3","5","13293","13","293",27153,27153,83.95152,323.436692370775,327.5538,323.4367,4.117123,27153,13024,14129,27153,1691,1685,1812,1229,2351,3017,3489,4057,3570,2434,1304,514,40.3,38.6,41.9,27153,18693,7590,76,127,9,323,335,27153,26565,18522,7544,61,124,3,19,292,588,171,46,15,3,6,304,43,10716,7382,4904,2478,590,1888,3334,2934,400,27153,26679,22824,7382,4904,7709,1023,307,270,568,661,3855,2934,400,521,474,458,16,12161,10716,7156,3560,12161,10716,1445,1445,386,414,645
"Walker County","Walker County, Georgia","1156117093","1672680","050","00","3","5","13295","13","295",68756,68756,154.0304,446.379334576068,447.0251,446.3793,0.6458254,68756,33781,34975,68756,4202,4413,4816,2825,5317,8432,9322,10252,8875,5900,3252,1150,39.7,38.4,41.1,68756,63918,2829,182,297,30,421,1079,68756,67643,63343,2809,170,291,30,53,947,1113,575,20,12,6,0,368,132,26497,18898,14073,4825,1345,3480,7599,6548,1051,68756,67433,58470,18898,14073,18869,2523,555,598,1350,1604,8963,6548,1051,1364,1323,1249,74,30100,26497,19610,6887,30100,26497,3603,3603,949,1007,1647
"Walton County","Walton County, Georgia","843508113","11187622","050","00","3","5","13297","13","297",83768,83768,257.2093,325.680310487925,329.9999,325.6803,4.319565,83768,40763,43005,83768,5804,6351,6498,3935,6657,9869,12523,12309,9730,5982,2966,1144,37.4,36.7,38.1,83768,67057,13103,222,956,48,1131,1251,83768,81085,65677,12993,194,947,38,159,1077,2683,1380,110,28,9,10,972,174,29583,22921,17294,5627,1518,4109,6662,5521,1141,83768,83086,74902,22921,17294,26492,2591,843,947,1932,1882,8184,5521,1141,1522,682,655,27,32435,29583,22330,7253,32435,29583,2852,2852,1021,1048,783
"Ware County","Ware County, Georgia","2311462171","40215551","050","00","3","5","13299","13","299",36312,36312,40.68751,892.460561207233,907.9879,892.4606,15.52731,36312,18069,18243,36312,2500,2298,2296,1463,3464,4681,4528,5109,4442,2855,1892,784,38.4,36.1,40.7,36312,24103,10721,120,279,13,543,533,36312,35105,23583,10662,97,278,7,35,443,1207,520,59,23,1,6,508,90,13654,9209,6087,3122,701,2421,4445,3883,562,36312,33903,28767,9209,6087,9787,1383,404,300,769,828,5136,3883,562,691,2409,2335,74,16326,13654,8865,4789,16326,13654,2672,2672,530,387,1755
"Warren County","Warren County, Georgia","736328597","6189505","050","00","3","5","13301","13","301",5834,5834,20.52072,284.298064701458,286.6878,284.2981,2.389781,5834,2694,3140,5834,403,385,333,252,458,582,659,905,810,578,332,137,42.9,41.3,44.3,5834,2152,3602,10,22,0,12,36,5834,5780,2133,3584,9,21,0,2,31,54,19,18,1,1,0,10,5,2315,1582,938,644,103,541,733,655,78,5834,5745,4921,1582,938,1680,325,103,58,138,97,824,655,78,91,89,80,9,2985,2315,1656,659,2985,2315,670,670,70,242,358
"Washington County","Washington County, Georgia","1757182927","15290061","050","00","3","5","13303","13","303",21187,21187,31.22844,678.452168890358,684.3557,678.4521,5.903526,21187,10812,10375,21187,1407,1297,1365,977,1867,2687,2695,3407,2604,1586,897,398,38.9,36.4,41.6,21187,9531,11173,25,104,1,143,210,21187,20780,9339,11124,19,104,1,26,167,407,192,49,6,0,0,117,43,7547,5269,3228,2041,348,1693,2278,2051,227,21187,19291,16720,5269,3228,5987,964,248,166,464,394,2571,2051,227,293,1896,1866,30,9047,7547,5321,2226,9047,7547,1500,1500,343,421,736
"Wayne County","Wayne County, Georgia","1662194319","18179669","050","00","3","5","13305","13","305",30099,30099,46.89948,641.776836031673,648.796,641.7769,7.019209,30099,15719,14380,30099,2182,2074,1983,1222,2534,3963,4353,4320,3606,2264,1231,367,37.6,37,38.5,30099,22558,5996,127,161,6,649,602,30099,28380,21749,5928,82,160,6,12,443,1719,809,68,45,1,0,637,159,10562,7686,5563,2123,552,1571,2876,2494,382,30099,27783,24412,7686,5563,8381,1079,232,203,611,657,3371,2494,382,495,2316,2278,38,12199,10562,7387,3175,12199,10562,1637,1637,460,504,673
"Webster County","Webster County, Georgia","541613654","2965859","050","00","3","5","13307","13","307",2799,2799,13.38477,209.118201319852,210.2633,209.1182,1.145125,2799,1362,1437,2799,164,209,218,119,208,270,381,426,384,239,126,55,40.6,40.8,40.2,2799,1512,1185,0,7,0,66,29,2799,2701,1492,1177,0,7,0,1,24,98,20,8,0,0,0,65,5,1119,788,524,264,81,183,331,298,33,2799,2799,2427,788,524,838,126,33,22,36,60,372,298,33,41,0,0,0,1523,1119,884,235,1523,1119,404,404,46,155,203
"Wheeler County","Wheeler County, Georgia","765301286","12390103","050","00","3","5","13309","13","309",7421,7421,25.11469,295.484501086492,300.2683,295.4845,4.783846,7421,4580,2841,7421,409,425,376,189,763,1250,1097,1133,897,488,288,106,37.9,36.6,40.8,7421,4552,2614,6,16,2,174,57,7421,7065,4405,2582,6,16,0,2,54,356,147,32,0,0,2,172,3,2152,1519,1067,452,118,334,633,560,73,7421,5462,4749,1519,1067,1590,243,61,55,94,120,713,560,73,80,1959,1959,0,2625,2152,1584,568,2625,2152,473,473,73,161,239
"White County","White County, Georgia","623374958","3939977","050","00","3","5","13311","13","311",27144,27144,112.7774,240.68643406842,242.2077,240.6864,1.521234,27144,13269,13875,27144,1589,1685,1823,1103,2241,2717,3408,3970,3854,2889,1443,422,42.3,40.9,43.4,27144,25824,457,131,124,9,230,369,27144,26497,25453,454,120,124,9,12,325,647,371,3,11,0,0,218,44,10646,7750,6127,1623,488,1135,2896,2424,472,27144,26779,23302,7750,6127,7234,626,187,240,530,608,3477,2424,472,581,365,144,221,16062,10646,7935,2711,16062,10646,5416,5416,1016,3742,658
"Whitfield County","Whitfield County, Georgia","752297142","1530155","050","00","3","5","13313","13","313",102599,102599,353.225,290.463566626564,291.0544,290.4636,0.5907962,102599,51118,51481,102599,8131,8290,8117,4745,9777,13506,14464,13638,10486,6669,3578,1198,34,32.8,35.3,102599,78623,3845,658,1330,70,15429,2644,102599,70128,63818,3631,180,1292,29,96,1082,32471,14805,214,478,38,41,15333,1562,35180,26090,19133,6957,2230,4727,9090,7543,1547,102599,101597,90489,26090,19133,33285,3416,1420,1130,3151,2864,11108,7543,1547,2018,1002,782,220,39899,35180,23093,12087,39899,35180,4719,4719,2295,1066,1358
"Wilcox County","Wilcox County, Georgia","978250169","11444222","050","00","3","5","13315","13","315",9255,9255,24.50328,377.704520638706,382.1232,377.7045,4.418639,9255,5436,3819,9255,481,471,512,323,839,1407,1357,1380,1164,705,432,184,39.7,38.3,42.4,9255,5706,3252,16,42,1,149,89,9255,8917,5544,3233,15,41,1,12,71,338,162,19,1,1,0,137,18,2891,2027,1421,606,151,455,864,750,114,9255,7236,6206,2027,1421,2105,280,68,57,119,129,1030,750,114,166,2019,2002,17,3510,2891,2192,699,3510,2891,619,619,114,206,299
"Wilkes County","Wilkes County, Georgia","1215973866","11924803","050","00","3","5","13317","13","317",10593,10593,22.56277,469.490162888786,474.0944,469.4902,4.604192,10593,5169,5424,10593,632,597,686,441,766,1139,1245,1597,1519,1097,606,268,43.4,41,45.6,10593,5616,4535,18,52,1,217,154,10593,10232,5495,4516,14,48,1,14,144,361,121,19,4,4,0,203,10,4263,2841,1822,1019,216,803,1422,1260,162,10593,10249,8604,2841,1822,2806,445,126,111,254,199,1645,1260,162,223,344,329,15,5158,4263,2961,1302,5158,4263,895,895,101,363,431
"Wilkinson County","Wilkinson County, Georgia","1158522024","12022592","050","00","3","5","13319","13","319",9563,9563,21.37901,447.307857797025,451.9498,447.3079,4.641949,9563,4582,4981,9563,658,636,636,394,756,1035,1118,1551,1275,881,476,147,41.1,39.7,42.5,9563,5598,3672,29,31,1,127,105,9563,9349,5529,3664,20,31,1,14,90,214,69,8,9,0,0,113,15,3666,2638,1757,881,211,670,1028,908,120,9563,9453,8271,2638,1757,2788,522,99,71,194,202,1182,908,120,154,110,101,9,4487,3666,2956,710,4487,3666,821,821,154,253,414
"Worth County","Worth County, Georgia","1478111101","10498400","050","00","3","5","13321","13","321",21679,21679,37.98656,570.701912132411,574.7554,570.7019,4.053455,21679,10397,11282,21679,1434,1407,1537,965,1969,2333,2709,3302,2889,1902,896,336,39.7,38.7,40.5,21679,15232,5978,58,74,6,98,233,21679,21344,15044,5951,48,74,4,12,211,335,188,27,10,0,2,86,22,8214,6032,4170,1862,454,1408,2182,1918,264,21679,21530,19041,6032,4170,6347,1053,254,184,468,533,2489,1918,264,307,149,149,0,9251,8214,5850,2364,9251,8214,1037,1037,231,324,482
"Ada County","Ada County, Idaho","2726158067","20424656","050","00","4","8","16001","16","001",392365,392365,372.7666,1052.57556405667,1060.462,1052.576,7.886004,392365,196501,195864,392365,28357,30064,28846,16439,35776,57613,55825,55081,43316,22789,12414,5845,34.8,34.1,35.6,392365,354347,4441,2610,9407,861,9529,11170,392365,364460,339332,4180,2058,9234,817,505,8334,27905,15015,261,552,173,44,9024,2836,148445,99282,77808,21474,6603,14871,49163,37175,11988,392365,382651,317651,99282,77808,117066,5125,2739,2274,4816,8541,65000,37175,11988,15837,9714,7536,2178,159471,148445,101639,46806,159471,148445,11026,11026,4275,4774,1977
"Adams County","Adams County, Idaho","3530298662","17392424","050","00","4","8","16003","16","003",3976,3976,2.916975,1363.05597709333,1369.771,1363.056,6.715253,3976,2041,1935,3976,189,192,229,153,206,338,369,695,777,549,209,70,50,51.1,49.3,3976,3821,5,39,16,2,26,67,3976,3882,3768,4,36,16,2,2,54,94,53,1,3,0,0,24,13,1748,1185,1025,160,59,101,563,468,95,3976,3955,3286,1185,1025,855,56,17,16,44,88,669,468,95,106,21,19,2,2636,1748,1386,362,2636,1748,888,888,58,708,122
"Bannock County","Bannock County, Idaho","2880035137","91800788","050","00","4","8","16005","16","005",82839,82839,74.49632,1111.98780534891,1147.432,1111.988,35.44448,82839,41298,41541,82839,6971,6472,5949,3322,10085,12679,9135,9860,9123,4997,3008,1238,31.4,30.6,32.2,82839,74401,625,2619,1079,188,1721,2206,82839,77252,71566,591,2301,1060,170,69,1495,5587,2835,34,318,19,18,1652,711,30682,20836,16027,4809,1525,3284,9846,7629,2217,82839,81047,67919,20836,16027,25693,1530,566,389,1099,1779,13128,7629,2217,3282,1792,884,908,33191,30682,20817,9865,33191,30682,2509,2509,918,1046,545
"Bear Lake County","Bear Lake County, Idaho","2524680722","193273897","050","00","4","8","16007","16","007",5986,5986,6.140843,974.784710971634,1049.408,974.7847,74.62347,5986,2972,3014,5986,410,461,495,270,377,636,601,820,812,603,359,142,40.5,40,41,5986,5767,6,29,22,1,97,64,5986,5770,5671,6,21,22,1,5,44,216,96,0,8,0,0,92,20,2281,1661,1445,216,73,143,620,547,73,5986,5955,5247,1661,1445,1818,102,31,25,94,71,708,547,73,88,31,31,0,3914,2281,1855,426,3914,2281,1633,1633,86,1336,211
"Benewah County","Benewah County, Idaho","2011429331","18988295","050","00","4","8","16009","16","009",9285,9285,11.9557,776.617256913932,783.9487,776.6172,7.331422,9285,4732,4553,9285,602,576,616,407,617,827,1029,1438,1474,1031,505,163,44.8,44.5,45,9285,8039,28,809,27,6,44,332,9285,9050,7919,25,765,27,6,4,304,235,120,3,44,0,0,40,28,3837,2571,2027,544,186,358,1266,1049,217,9285,9215,7702,2571,2027,2396,215,51,55,137,250,1513,1049,217,247,70,69,1,4629,3837,2942,895,4629,3837,792,792,73,590,129
"Bingham County","Bingham County, Idaho","5423378296","68447717","050","00","4","8","16011","16","011",45607,45607,21.78007,2093.97820839324,2120.406,2093.978,26.42781,45607,22885,22722,45607,4403,4250,3998,2397,3827,5793,5131,5799,4795,2890,1721,603,31.8,31,32.6,45607,36752,105,2970,285,36,4480,979,45607,37743,34176,78,2560,268,32,81,548,7864,2576,27,410,17,4,4399,431,14999,11731,9361,2370,800,1570,3268,2778,490,45607,45284,41382,11731,9361,16693,1336,317,211,830,903,3902,2778,490,634,323,302,21,16141,14999,11563,3436,16141,14999,1142,1142,311,465,366
"Blaine County","Blaine County, Idaho","6846856430","44340529","050","00","4","8","16013","16","013",21376,21376,8.085986,2643.58606758024,2660.706,2643.586,17.11997,21376,10886,10490,21376,1414,1537,1397,855,1261,2658,2964,3596,3218,1663,627,186,40.4,40,40.8,21376,18157,39,125,183,16,2530,326,21376,17104,16669,23,44,174,14,17,163,4272,1488,16,81,9,2,2513,163,8823,5575,4569,1006,361,645,3248,2534,714,21376,21118,17020,5575,4569,5711,194,163,128,304,376,4098,2534,714,850,258,24,234,15050,8823,5939,2884,15050,8823,6227,6227,702,5264,261
"Boise County","Boise County, Idaho","4919000288","19293275","050","00","4","8","16015","16","015",7028,7028,3.700434,1899.23662349015,1906.686,1899.237,7.449176,7028,3671,3357,7028,310,410,511,278,351,488,812,1299,1451,805,251,62,48.4,48.6,48.1,7028,6703,15,55,29,5,58,163,7028,6779,6552,13,45,29,5,0,135,249,151,2,10,0,0,58,28,2974,2051,1771,280,112,168,923,752,171,7028,6994,5871,2051,1771,1666,100,27,28,90,138,1123,752,171,200,34,34,0,5292,2974,2468,506,5292,2974,2318,2318,63,2074,181
"Bonner County","Bonner County, Idaho","4492523343","478955717","050","00","4","8","16017","16","017",40877,40877,23.56603,1734.5731022692,1919.499,1734.573,184.9258,40877,20592,20285,40877,2142,2411,2713,1584,2537,3999,4613,6654,7215,4351,1912,746,45.8,45.2,46.3,40877,39261,58,315,184,42,163,854,40877,39966,38606,51,290,177,40,35,767,911,655,7,25,7,2,128,87,17100,11591,9448,2143,784,1359,5509,4442,1067,40877,40524,33736,11591,9448,10034,704,207,248,511,993,6788,4442,1067,1279,353,260,93,24669,17100,12757,4343,24669,17100,7569,7569,521,6393,655
"Bonneville County","Bonneville County, Idaho","4833116989","89506629","050","00","4","8","16019","16","019",104234,104234,55.85728,1866.07705672768,1900.636,1866.077,34.5587,104234,51996,52238,104234,9975,9507,8352,4960,8836,15302,11969,13208,10782,6127,3633,1583,31.7,31,32.4,104234,94411,585,790,856,86,5334,2172,104234,92322,88873,533,554,841,81,71,1369,11912,5538,52,236,15,5,5263,803,36629,26787,21511,5276,1580,3696,9842,8217,1625,104234,103062,91143,26787,21511,36348,1771,645,484,1505,2092,11919,8217,1625,2077,1172,547,625,39731,36629,26336,10293,39731,36629,3102,3102,1113,1482,507
"Boundary County","Boundary County, Idaho","3285556291","24081041","050","00","4","8","16021","16","021",10972,10972,8.649175,1268.56040414087,1277.858,1268.56,9.297742,10972,5549,5423,10972,687,742,855,528,631,1127,1198,1611,1761,1086,533,213,42.8,42.4,43.2,10972,10398,29,189,62,6,58,230,10972,10570,10110,29,167,56,6,6,196,402,288,0,22,6,0,52,34,4421,2976,2432,544,210,334,1445,1214,231,10972,10899,9175,2976,2432,3082,184,63,56,131,251,1724,1214,231,279,73,50,23,5175,4421,3393,1028,5175,4421,754,754,100,448,206
"Butte County","Butte County, Idaho","5779990424","5257716","050","00","4","8","16023","16","023",2891,2891,1.295444,2231.66691428686,2233.697,2231.667,2.030015,2891,1485,1406,2891,214,215,229,157,164,284,273,422,427,292,158,56,41.7,41.2,42.4,2891,2761,6,13,5,5,59,42,2891,2772,2713,5,11,5,5,0,33,119,48,1,2,0,0,59,9,1129,788,664,124,36,88,341,298,43,2891,2873,2481,788,664,911,45,10,8,19,36,392,298,43,51,18,16,2,1354,1129,865,264,1354,1129,225,225,40,79,106
"Camas County","Camas County, Idaho","2782925142","11535370","050","00","4","8","16025","16","025",1117,1117,1.03956,1074.49341695792,1078.947,1074.493,4.453832,1117,582,535,1117,63,72,69,36,55,144,127,198,175,122,33,23,44.3,45.2,43.5,1117,1051,3,6,1,0,20,36,1117,1042,1008,2,6,1,0,0,25,75,43,1,0,0,0,20,11,487,326,274,52,27,25,161,138,23,1117,1117,930,326,274,273,21,3,2,4,27,187,138,23,26,0,0,0,831,487,374,113,831,487,344,344,22,256,66
"Canyon County","Canyon County, Idaho","1521281478","41900334","050","00","4","8","16027","16","027",188923,188923,321.6422,587.370109822903,603.5479,587.3701,16.17781,188923,93506,95417,188923,17143,17141,16167,9041,17700,26246,24339,22386,18364,11575,6069,2752,31.6,30.9,32.3,188923,156750,1077,2028,1519,402,21469,5678,188923,143854,136553,877,1229,1402,369,212,3212,45069,20197,200,799,117,33,21257,2466,63604,47481,36074,11407,3600,7807,16123,12815,3308,188923,185588,165027,47481,36074,64688,4433,1781,1331,3733,5506,20561,12815,3308,4438,3335,1466,1869,69409,63604,44846,18758,69409,63604,5805,5805,1895,2489,1421
"Caribou County","Caribou County, Idaho","4569116224","89170677","050","00","4","8","16029","16","029",6963,6963,3.946953,1764.14568716148,1798.575,1764.146,34.42899,6963,3509,3454,6963,547,580,551,338,441,832,740,969,862,612,352,139,37.7,36.4,38.9,6963,6637,4,23,15,15,163,106,6963,6627,6481,4,19,14,15,4,90,336,156,0,4,1,0,159,16,2606,1936,1675,261,103,158,670,598,72,6963,6884,6138,1936,1675,2231,93,24,18,65,96,746,598,72,76,79,79,0,3226,2606,2067,539,3226,2606,620,620,98,349,173
"Cassia County","Cassia County, Idaho","6643528786","39370982","050","00","4","8","16031","16","031",22952,22952,8.947866,2565.08088222803,2580.282,2565.081,15.20122,22952,11612,11340,22952,2144,2206,2016,1221,1935,2777,2584,2819,2296,1558,963,433,32,31,33.1,22952,18781,64,178,108,16,3266,539,22952,17228,16742,38,106,104,15,18,205,5724,2039,26,72,4,1,3248,334,7666,5758,4664,1094,393,701,1908,1646,262,22952,22666,20398,5758,4664,8302,510,153,129,412,470,2268,1646,262,360,286,273,13,8372,7666,5327,2339,8372,7666,706,706,197,329,180
"Clark County","Clark County, Idaho","4569218695","2476848","050","00","4","8","16033","16","033",982,982,0.5566309,1764.1852240242,1765.141,1764.185,0.9563164,982,543,439,982,82,93,79,54,83,123,112,131,96,81,37,11,32.7,29.9,35.3,982,711,7,10,5,0,234,15,982,584,558,2,6,5,0,2,11,398,153,5,4,0,0,232,4,345,243,198,45,21,24,102,84,18,982,980,854,243,198,336,11,11,6,23,26,126,84,18,24,2,0,2,531,345,217,128,531,345,186,186,14,130,42
"Clearwater County","Clearwater County, Idaho","6364309391","79544779","050","00","4","8","16035","16","035",8761,8761,3.565333,2457.27374180884,2487.986,2457.274,30.71241,8761,4739,4022,8761,373,404,466,313,516,832,960,1404,1533,1172,576,212,49,47.9,50.2,8761,8225,18,194,61,9,73,181,8761,8493,8063,16,184,61,9,5,155,268,162,2,10,0,0,68,26,3660,2397,2003,394,158,236,1263,1074,189,8761,8154,6665,2397,2003,1779,157,29,36,104,160,1489,1074,189,226,607,606,1,4453,3660,2808,852,4453,3660,793,793,105,539,149
"Custer County","Custer County, Idaho","12745176171","42386557","050","00","4","8","16037","16","037",4368,4368,0.8876352,4920.94019895073,4937.306,4920.94,16.36554,4368,2318,2050,4368,219,202,268,169,224,428,494,741,805,508,229,81,48,47.7,48.2,4368,4209,8,27,10,4,66,44,4368,4192,4108,5,26,10,4,0,39,176,101,3,1,0,0,66,5,1936,1244,1078,166,74,92,692,584,108,4368,4347,3485,1244,1078,966,45,20,12,41,79,862,584,108,170,21,9,12,3103,1936,1471,465,3103,1936,1167,1167,45,998,124
"Elmore County","Elmore County, Idaho","7963533304","67384705","050","00","4","8","16039","16","039",27038,27038,8.793596,3074.73753237467,3100.755,3074.738,26.01738,27038,13971,13067,27038,2508,2091,1888,1188,3450,4238,3159,3365,2435,1583,833,300,30,28.9,31.3,27038,22213,733,270,768,105,1830,1119,27038,22920,20305,696,224,748,101,52,794,4118,1908,37,46,20,4,1778,325,10140,7135,5740,1395,439,956,3005,2409,596,27038,26406,22652,7135,5740,8225,415,143,137,366,491,3754,2409,596,749,632,165,467,12162,10140,6185,3955,12162,10140,2022,2022,589,981,452
"Franklin County","Franklin County, Idaho","1718831658","12169099","050","00","4","8","16041","16","041",12786,12786,19.26634,663.644625380504,668.3431,663.6447,4.698515,12786,6486,6300,12786,1219,1292,1289,698,944,1566,1443,1503,1189,866,529,248,31.5,30.6,32.3,12786,12064,28,53,15,7,419,200,12786,11948,11743,28,33,15,7,1,121,838,321,0,20,0,0,418,79,4079,3259,2880,379,120,259,820,730,90,12786,12684,11736,3259,2880,5011,234,50,31,149,122,948,730,90,128,102,91,11,4528,4079,3234,845,4528,4079,449,449,62,250,137
"Fremont County","Fremont County, Idaho","4826508353","83291796","050","00","4","8","16043","16","043",13242,13242,7.105887,1863.52534760779,1895.684,1863.525,32.15914,13242,6963,6279,13242,1166,1149,1096,743,1022,1679,1442,1670,1431,1040,637,167,33.5,33.2,33.8,13242,11855,46,93,29,13,1007,199,13242,11548,11273,24,86,27,11,9,118,1694,582,22,7,2,2,998,81,4436,3436,2925,511,191,320,1000,876,124,13242,12782,11621,3436,2925,4475,215,81,77,188,224,1161,876,124,161,460,448,12,8531,4436,3585,851,8531,4436,4095,4095,124,3762,209
